Token,Weight
nc(C(F)(F)F),0.0058608512913110086
[C@H]1,0.005822367920412826
[C@H]4,0.005797687905650386
c1ccc2c(,0.005724021146962118
)ccn1,0.005719707991987834
[C@H]2O),0.00571336139593627
CCC(,0.005619254046987198
cnc1,0.005610200898939197
nc(C),0.005606381299896804
cs2),0.005582142533827643
c(O),0.005528386327710104
CCC2),0.005527345904768799
C(=O)N[C@@H](C),0.005522246117702534
C(=O)c2ccccc2,0.005502606529088693
CC(=O)N1,0.005466773876063759
C(=O)N(C),0.005445803516261357
Cc1nc(,0.0054090331633192615
cc1-,0.005398616417503933
ncc4,0.005387803828075502
CC(=O)N2,0.005348315000038908
C#,0.0053357293648653385
c4o,0.00533471607964278
c2F),0.005296697895007619
C3=,0.005264456491225058
Cc1cccc(,0.005253483582653485
C23,0.005250139136044872
c(CN,0.005209167481792036
C[C@@H](O),0.00517250008308446
CC3)cc1,0.005164627109375316
C(=O)N2C,0.005161852298708832
CC[C@@H](,0.0051413371443558105
COc1ccc(,0.0051226544631271164
C(=O)N(,0.005117488955063572
c4ccccc4,0.005076666122782086
COc1cc,0.005069821034283772
4,0.005031266869440928
nc2n1,0.005020075527519092
o2)cc1,0.005019866283535579
CCCC2,0.004972561802877852
/C=C(\,0.004929865918373587
c2nc(O),0.004929865918373587
c(C)c1,0.004885890283465559
=CC(=O),0.004872606706051497
1),0.004863355727136952
CCC(O)(,0.004827400501037703
C2)C3),0.004802104205272336
N2CC,0.004775751476606943
(C),0.004774324919668559
oc1,0.004752414914294536
C)c(,0.004731158040710464
Cn3,0.004716816289070076
C(C)(C),0.004696464889125906
oc(-,0.004684515133125683
[C@]1(,0.004680059406258406
nnc1,0.004618331993212591
nn1,0.004589053068319925
[C@H](O),0.004581492846198872
CC[C@H]2,0.004532482565011494
(CO),0.004505805269649256
c2ccc3[nH],0.004472636444185423
n2)cc1,0.004470555088306353
c2cccc(NC(=O),0.004446516875478288
cc(NC(=O),0.004445448650207566
c2ccccc2O),0.004440366381361452
